Redwood,Size,Fb,Ft,Fv,Fc-perpendicular,Fc,E,Emin
Clear Structural,"2"" & Wider",1750,1000,160,650,1850,1400000,510000
Select Structural,"2"" & Wider",1350,800,160,650,1500,1400000,510000
"Select Structural, open grain","2"" & Wider",1100,625,160,425,1100,1100000,400000
No. 1,"2"" & Wider",975,575,160,650,1200,1300000,470000
"No. 1, open grain","2"" & Wider",775,450,160,425,900,1100000,400000
No. 2,"2"" & Wider",925,525,160,650,950,1200000,440000
"No. 2, open grain","2"" & Wider",725,425,160,425,700,1000000,370000
No. 3,"2"" & Wider",525,300,160,650,550,1100000,400000
"No. 3, open grain","2"" & Wider",425,250,160,425,400,900000,330000
Stud,"2"" & Wider",575,325,160,425,450,900000,330000
Construction,"2-4"" Wide",825,475,160,425,925,900000,330000
Standard,"2-4"" Wide",450,275,160,425,725,900000,330000
Utility,"2-4"" Wide",225,125,160,425,475,800000,290000
